epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4678.23,0.64138,0.78236,1.16206,0.59712,0.76424,0.68678,0.6251,0.62932,0.87339,1.07377,0.0005075,0.0005075,0.0005075
92,4731.07,0.64542,0.80655,1.16089,0.60416,0.76845,0.68614,0.62031,0.6515,0.88444,1.08409,0.00049925,0.00049925,0.00049925
93,4784.36,0.64227,0.78772,1.15733,0.60582,0.77486,0.6987,0.62838,0.64696,0.90074,1.06998,0.000491,0.000491,0.000491
94,4837.04,0.64399,0.78164,1.15067,0.59507,0.71664,0.6733,0.60614,0.67669,1.03614,1.09454,0.00048275,0.00048275,0.00048275
95,4889.68,0.63537,0.78818,1.1466,0.58937,0.75944,0.68748,0.62141,0.6481,0.90731,1.0734,0.0004745,0.0004745,0.0004745
96,4942.27,0.63923,0.7568,1.15362,0.62462,0.72157,0.68458,0.6246,0.65491,0.94171,1.08164,0.00046625,0.00046625,0.00046625
97,4995.43,0.64536,0.78077,1.15285,0.60299,0.70497,0.65837,0.59013,0.64066,1.05822,1.0749,0.000458,0.000458,0.000458
98,5048.58,0.63868,0.75913,1.15118,0.58339,0.74153,0.68528,0.61978,0.61547,0.9054,1.05775,0.00044975,0.00044975,0.00044975
99,5102.1,0.64352,0.77126,1.14305,0.60232,0.73529,0.68324,0.61362,0.63784,0.97711,1.06294,0.0004415,0.0004415,0.0004415
100,5154.88,0.64734,0.76446,1.15646,0.57593,0.75159,0.70267,0.6392,0.63743,0.92332,1.08204,0.00043325,0.00043325,0.00043325
101,5207.84,0.61908,0.75332,1.13918,0.58243,0.76666,0.6867,0.6296,0.63764,0.89934,1.07481,0.000425,0.000425,0.000425
102,5260.86,0.62847,0.76499,1.14608,0.6179,0.74131,0.6989,0.63511,0.62867,0.86494,1.06943,0.00041675,0.00041675,0.00041675
103,5313.94,0.62976,0.74075,1.14388,0.59847,0.75496,0.69297,0.62897,0.64587,0.90605,1.08386,0.0004085,0.0004085,0.0004085
104,5367,0.63605,0.75792,1.14804,0.58591,0.75557,0.68994,0.62633,0.63492,0.89256,1.07632,0.00040025,0.00040025,0.00040025
105,5419.7,0.62363,0.74897,1.14079,0.60737,0.75554,0.69598,0.63159,0.64391,0.90379,1.08523,0.000392,0.000392,0.000392
106,5472.83,0.63195,0.74897,1.14463,0.59556,0.76394,0.68974,0.62346,0.63859,0.8986,1.07592,0.00038375,0.00038375,0.00038375
107,5525.62,0.61902,0.73023,1.1441,0.592,0.72223,0.66796,0.60636,0.65053,0.94343,1.08724,0.0003755,0.0003755,0.0003755
108,5578.3,0.63017,0.75243,1.14787,0.61117,0.74073,0.6854,0.61911,0.64722,0.91263,1.08444,0.00036725,0.00036725,0.00036725
109,5631.03,0.62829,0.73545,1.14531,0.62171,0.75627,0.70191,0.63511,0.63195,0.86771,1.07782,0.000359,0.000359,0.000359
110,5679.22,0.62283,0.7091,1.13947,0.61091,0.73457,0.69896,0.63494,0.63842,0.91984,1.08279,0.00035075,0.00035075,0.00035075
111,5730.32,0.62765,0.73001,1.14817,0.62433,0.7484,0.70379,0.64018,0.63718,0.89945,1.08318,0.0003425,0.0003425,0.0003425
112,5783.82,0.62888,0.7193,1.14923,0.59483,0.71391,0.66813,0.60274,0.66552,1.08666,1.09,0.00033425,0.00033425,0.00033425
113,5837.26,0.6267,0.74125,1.13714,0.60692,0.75801,0.70497,0.63939,0.62988,0.88563,1.07197,0.000326,0.000326,0.000326
114,5890.67,0.60993,0.70662,1.13398,0.60628,0.74972,0.70636,0.64233,0.63027,0.88157,1.07255,0.00031775,0.00031775,0.00031775
115,5944.34,0.61401,0.70141,1.13359,0.61899,0.72759,0.6975,0.62975,0.65986,0.97808,1.0874,0.0003095,0.0003095,0.0003095
116,5997,0.60535,0.70684,1.13034,0.6312,0.75973,0.70411,0.63613,0.64416,0.91243,1.08033,0.00030125,0.00030125,0.00030125
117,6049.93,0.59612,0.707,1.12741,0.63505,0.75846,0.70648,0.64046,0.63717,0.8851,1.08872,0.000293,0.000293,0.000293
118,6103.64,0.61779,0.6995,1.1405,0.62514,0.76018,0.70254,0.63874,0.62435,0.87019,1.07053,0.00028475,0.00028475,0.00028475
119,6156.61,0.62641,0.70746,1.14273,0.62206,0.7642,0.70635,0.64291,0.63526,0.8695,1.08833,0.0002765,0.0002765,0.0002765
120,6210.74,0.60558,0.70291,1.1298,0.6359,0.76475,0.70551,0.63535,0.62626,0.87673,1.0717,0.00026825,0.00026825,0.00026825
121,6263.73,0.61286,0.68726,1.13227,0.64874,0.74034,0.7034,0.63149,0.6446,0.89334,1.0746,0.00026,0.00026,0.00026
122,6316.63,0.60121,0.68339,1.12137,0.63714,0.75822,0.70395,0.6362,0.62966,0.89429,1.06354,0.00025175,0.00025175,0.00025175
123,6369.43,0.60813,0.69062,1.12966,0.62288,0.75158,0.70174,0.6325,0.63313,0.87805,1.06847,0.0002435,0.0002435,0.0002435
124,6422.55,0.60478,0.69118,1.12677,0.62387,0.74597,0.69703,0.62682,0.6166,0.917,1.06025,0.00023525,0.00023525,0.00023525
125,6475.45,0.60704,0.70849,1.13309,0.6198,0.76433,0.71134,0.64435,0.62042,0.87299,1.05702,0.000227,0.000227,0.000227
126,6528.83,0.61209,0.68261,1.13873,0.62676,0.75811,0.71459,0.6439,0.61719,0.88024,1.05983,0.00021875,0.00021875,0.00021875
127,6582.5,0.59714,0.67685,1.13314,0.63158,0.75571,0.71708,0.64851,0.64022,0.90177,1.07773,0.0002105,0.0002105,0.0002105
128,6634.95,0.59363,0.67949,1.11594,0.63713,0.73455,0.71179,0.64447,0.63855,0.91467,1.07511,0.00020225,0.00020225,0.00020225
129,6687.59,0.58143,0.6458,1.11162,0.62243,0.74039,0.71603,0.64849,0.62012,0.87839,1.06553,0.000194,0.000194,0.000194
130,6740.69,0.60393,0.67286,1.13873,0.63918,0.73884,0.70479,0.63903,0.62127,0.91413,1.06583,0.00018575,0.00018575,0.00018575
131,6794.43,0.59212,0.65587,1.12385,0.66683,0.72967,0.71503,0.64239,0.63294,0.88231,1.07571,0.0001775,0.0001775,0.0001775
132,6846.86,0.58861,0.66549,1.11471,0.6276,0.75156,0.71193,0.64534,0.61239,0.87564,1.06189,0.00016925,0.00016925,0.00016925
133,6900.04,0.57496,0.64136,1.11243,0.6648,0.72501,0.71139,0.64457,0.61876,0.89449,1.06594,0.000161,0.000161,0.000161
134,6953.56,0.58622,0.65502,1.11589,0.63712,0.75164,0.70588,0.64043,0.62295,0.86964,1.06163,0.00015275,0.00015275,0.00015275
135,7006.43,0.58955,0.65817,1.1222,0.66663,0.69565,0.70283,0.63242,0.64054,0.98752,1.07424,0.0001445,0.0001445,0.0001445
136,7059.01,0.58387,0.65618,1.11621,0.64834,0.74434,0.71349,0.64221,0.61606,0.87191,1.05948,0.00013625,0.00013625,0.00013625
137,7112.12,0.59529,0.64274,1.1224,0.64165,0.76042,0.71654,0.64549,0.62075,0.85926,1.06476,0.000128,0.000128,0.000128
138,7165.28,0.58438,0.66137,1.11164,0.64479,0.74167,0.71314,0.64054,0.64217,0.91105,1.07254,0.00011975,0.00011975,0.00011975
139,7218.55,0.56726,0.63153,1.10403,0.64767,0.74576,0.71487,0.64439,0.62883,0.89182,1.06478,0.0001115,0.0001115,0.0001115
140,7271.83,0.58373,0.64175,1.11668,0.64661,0.74455,0.71176,0.64503,0.61503,0.87539,1.05928,0.00010325,0.00010325,0.00010325
141,7326.77,0.4529,0.5453,0.99489,0.64674,0.72544,0.70936,0.64178,0.59661,0.88233,1.04761,9.5e-05,9.5e-05,9.5e-05
142,7374.4,0.44599,0.51925,0.98674,0.65403,0.74098,0.71496,0.64672,0.59758,0.83614,1.04933,8.675e-05,8.675e-05,8.675e-05
143,7427.11,0.44152,0.51046,0.98559,0.64082,0.74772,0.71304,0.64749,0.60503,0.84437,1.05247,7.85e-05,7.85e-05,7.85e-05
144,7479.92,0.44142,0.51395,0.98628,0.64994,0.75368,0.71287,0.64959,0.60363,0.84818,1.05081,7.025e-05,7.025e-05,7.025e-05
145,7534,0.4369,0.50357,0.98093,0.66294,0.73504,0.71483,0.65137,0.60774,0.86129,1.0555,6.2e-05,6.2e-05,6.2e-05
146,7587.4,0.43477,0.49946,0.98363,0.65264,0.7475,0.71677,0.64961,0.60666,0.86527,1.05263,5.375e-05,5.375e-05,5.375e-05
147,7640.24,0.43728,0.49086,0.9825,0.66767,0.72884,0.71761,0.6516,0.6092,0.8573,1.05135,4.55e-05,4.55e-05,4.55e-05
148,7693.52,0.42971,0.48496,0.96604,0.65254,0.74349,0.71829,0.65161,0.60653,0.85428,1.05062,3.725e-05,3.725e-05,3.725e-05
149,7746.45,0.42865,0.48201,0.97996,0.64202,0.7558,0.71526,0.64909,0.60788,0.86274,1.05369,2.9e-05,2.9e-05,2.9e-05
150,7794.49,0.42876,0.48349,0.98158,0.65696,0.74612,0.71652,0.6501,0.60577,0.85644,1.05345,2.075e-05,2.075e-05,2.075e-05
